sample	samples	cg02855142	cg06587969	cg05479194	cg18311066	cg21050342	cg02045224	cg15206330	cg13169780	cg02166782	cg17461511	cg26539663	cg12373934	cg25896754	cg14351634	cg16203911	cg00807143	cg05348746	cg04009932	cg02690969	cg22175811	cg08119584	cg02842899	cg07991600	cg25053252	cg06317056	cg06365412	cg13468400	cg12041075	cg18198734	cg02087342	cg10792831	cg16397722	cg22949073
TCGA-P4-A5ED-01	TCGA-P4-A5ED-01	0.03122	0.02237	0.02404	0.01936	0.03024	0.0213	0.03389	0.02823	0.05233	0.01964	0.1314	0.0441	0.02004	0.01824	0.02285	0.05034	0.02251	0.03608	0.02129	0.02376	0.03514	0.01865	0.01876	0.01912	0.02632	0.8965	0.6272	0.8483	0.9216	0.9386	0.9539	0.9391	0.9089
TCGA-HT-7680-01	TCGA-HT-7680-01	0.03121	0.03653	0.02701	0.02008	0.03255	0.02827	0.03391	0.03824	0.04045	0.0273	0.08259	0.0484	0.0233	0.02064	0.0293	0.05867	0.03679	0.03888	0.03086	0.02947	0.02899	0.02541	0.02838	0.02745	0.04425	0.885	0.8053	0.5477	0.637	0.8541	0.928	0.944	0.625
TCGA-06-6701-01	TCGA-06-6701-01	0.03121	0.02939	0.05609	0.02445	0.03295	0.03315	0.04172	0.0342	0.05839	0.01762	0.1189	0.0495	0.02751	0.01505	0.03071	0.082	0.03497	0.03644	0.02471	0.04806	0.04875	0.03496	0.06285	0.02289	0.01936	0.8999	0.8481	0.7402	0.723	0.6387	0.9647	0.8609	0.9074
TCGA-AX-A3FX-01	TCGA-AX-A3FX-01	0.03121	0.02829	0.03382	0.02079	0.02633	0.03277	0.04278	0.03781	0.04237	0.02984	0.1263	0.0472	0.02386	0.021	0.0308	0.07537	0.04001	0.0373	0.02873	0.02628	0.03314	0.03162	0.02298	0.0245	0.04177	0.819	0.6859	0.7025	0.8258	0.6552	0.9336	0.9462	0.8115
TCGA-LQ-A4E4-01	TCGA-LQ-A4E4-01	0.03121	0.02773	0.02841	0.02294	0.0318	0.01786	0.03835	0.05366	0.06855	0.03606	0.05129	0.05269	0.03606	0.02955	0.03895	0.08892	0.03106	0.04843	0.03252	0.05148	0.02903	0.0475	0.05628	0.03064	0.04608	0.8899	0.878	0.8687	0.8769	0.8874	0.9365	0.9452	0.7705
TCGA-LN-A4A3-01	TCGA-LN-A4A3-01	0.03121	0.0262	0.03893	0.01509	0.03292	0.01578	0.0472	0.03121	0.05732	0.02105	0.09503	0.04096	0.01742	0.01754	0.02626	0.04704	0.02543	0.03713	0.02223	0.0292	0.03815	0.03905	0.02343	0.01825	0.02913	0.8528	0.8134	0.8047	0.8061	0.7429	0.9162	0.9515	0.6229
TCGA-AB-3002-03	TCGA-AB-3002-03	0.0312	0.0266	0.03121	0.01997	0.02294	0.03746	0.04021	0.03053	0.04951	0.02068	0.1265	0.03091	0.03135	0.01494	0.02451	0.06461	0.02802	0.04875	0.02174	0.02469	0.03373	0.02532	0.0217	0.02291	0.02956	0.8801	0.8872	0.833	0.9144	0.9481	0.9653	0.959	0.9265
TCGA-VQ-A91A-01	TCGA-VQ-A91A-01	0.0312	0.02521	0.02631	0.02066	0.02488	0.02394	0.03744	0.04339	0.0511	0.02633	0.0677	0.03981	0.02137	0.01986	0.01972	0.05886	0.03055	0.03004	0.02113	0.04304	0.03627	0.03003	0.02319	0.02056	0.03142	0.8465	0.837	0.8358	0.8669	0.7656	0.9529	0.9322	0.866
TCGA-C5-A2M2-01	TCGA-C5-A2M2-01	0.03119	0.03671	0.07342	0.02666	0.02712	0.04376	0.03284	0.03575	0.04639	0.02247	0.1476	0.04333	0.02224	0.01552	0.02525	0.07844	0.03131	0.04317	0.02298	0.04291	0.03493	0.03	0.0876	0.02269	0.02879	0.8681	0.836	0.8672	0.9321	0.9263	0.9499	0.9522	0.8884
TCGA-ZB-A96I-01	TCGA-ZB-A96I-01	0.03119	0.03264	0.03626	0.02533	0.02825	0.03156	0.04833	0.03103	0.04977	0.02099	0.1108	0.03649	0.02981	0.01887	0.02278	0.0536	0.02571	0.03346	0.01864	0.03196	0.04398	0.02187	0.06074	0.02138	0.02227	0.8479	0.822	0.8666	0.8494	0.4525	0.9307	0.9384	0.4414
TCGA-AB-2841-03	TCGA-AB-2841-03	0.03119	0.03118	0.02721	0.01976	0.02376	0.02832	0.02931	0.04391	0.04897	0.0226	0.1104	0.03846	0.02981	0.0161	0.02039	0.05627	0.02376	0.0356	0.01959	0.0316	0.03944	0.02851	0.01687	0.02572	0.02717	0.8864	0.882	0.845	0.9383	0.949	0.9584	0.934	0.9258
TCGA-D3-A1QA-06	TCGA-D3-A1QA-06	0.03119	0.02688	0.02997	0.02545	0.0346	0.01434	0.04294	0.05767	0.03947	0.03081	0.07462	0.05746	0.02095	0.02635	0.0462	0.06104	0.03465	0.03087	0.02656	0.03501	0.03683	0.02059	0.03193	0.02542	0.04792	0.9345	0.8788	0.665	0.7275	0.8045	0.954	0.9501	0.7534
TCGA-L3-A524-01	TCGA-L3-A524-01	0.03119	0.02514	0.02746	0.02465	0.02623	0.02535	0.03635	0.04973	0.04602	0.0234	0.06581	0.04456	0.0223	0.02028	0.03293	0.05946	0.03174	0.03594	0.02746	0.04506	0.04118	0.03663	0.02953	0.02353	0.03711	0.7824	0.7832	0.812	0.8659	0.7999	0.9148	0.9417	0.4622
TCGA-J8-A3NZ-01	TCGA-J8-A3NZ-01	0.03118	0.0307	0.04417	0.02189	0.02539	0.04034	0.03308	0.02916	0.04046	0.0211	0.09879	0.05478	0.0216	0.01803	0.02507	0.0978	0.02986	0.04332	0.02358	0.1058	0.06501	0.02336	0.04731	0.02311	0.02877	0.8465	0.8432	0.838	0.8986	0.6387	0.9543	0.9442	0.9169
TCGA-QC-AA9N-01	TCGA-QC-AA9N-01	0.03118	0.03062	0.02722	0.01999	0.02928	0.03102	0.04874	0.03741	0.04015	0.02599	0.1272	0.03945	0.02539	0.02344	0.03186	0.08288	0.03448	0.03855	0.02489	0.03748	0.03579	0.05716	0.0303	0.03942	0.09578	0.9138	0.9157	0.9149	0.9358	0.8613	0.9575	0.9334	0.8446
TCGA-VQ-A92D-01	TCGA-VQ-A92D-01	0.03118	0.02879	0.02802	0.02259	0.027	0.03588	0.03705	0.06502	0.04604	0.02782	0.09642	0.04809	0.02267	0.02505	0.02285	0.0548	0.026	0.03362	0.02702	0.03126	0.03227	0.02896	0.03972	0.02486	0.03652	0.8034	0.8296	0.7376	0.8526	0.8503	0.9022	0.9219	0.7973
TCGA-FP-A4BE-01	TCGA-FP-A4BE-01	0.03118	0.02779	0.0264	0.02459	0.0279	0.03637	0.02957	0.04163	0.04359	0.02812	0.1343	0.04928	0.01616	0.02306	0.02568	0.05638	0.03209	0.03555	0.0314	0.03218	0.03446	0.02686	0.02397	0.02552	0.03794	0.8836	0.819	0.8491	0.8759	0.7123	0.9329	0.9446	0.5451
TCGA-HT-7874-01	TCGA-HT-7874-01	0.03117	0.02837	0.01883	0.0218	0.03448	0.02457	0.05614	0.03273	0.0479	0.02388	0.1053	0.05726	0.03043	0.01668	0.02726	0.05071	0.02464	0.03078	0.02738	0.02835	0.03498	0.02744	0.01975	0.01947	0.0266	0.8538	0.7336	0.7092	0.694	0.722	0.9407	0.9409	0.78
TCGA-DC-6160-01	TCGA-DC-6160-01	0.03117	0.02669	0.04629	0.01999	0.02632	0.03168	0.03003	0.05341	0.04322	0.02609	0.08915	0.04477	0.0211	0.01979	0.03476	0.08463	0.03354	0.04264	0.02751	0.07344	0.04666	0.0356	0.02276	0.02165	0.03335	0.8758	0.8392	0.8747	0.8842	0.869	0.9401	0.9594	0.8467
TCGA-DU-7008-01	TCGA-DU-7008-01	0.03117	0.02153	0.04076	0.01936	0.02348	0.03518	0.02208	0.02906	0.0308	0.02492	0.09867	0.03652	0.02376	0.01437	0.02313	0.0591	0.02678	0.03799	0.02262	0.02596	0.09951	0.02366	0.04164	0.01728	0.02757	0.883	0.8661	0.8772	0.9021	0.6714	0.9654	0.9607	0.9322
TCGA-D8-A27V-01	TCGA-D8-A27V-01	0.03116	0.03745	0.04359	0.02534	0.0324	0.01976	0.03036	0.03488	0.04724	0.01891	0.1005	0.04539	0.0237	0.01791	0.02481	0.119	0.02873	0.04661	0.02331	0.1855	0.08035	0.03221	0.1351	0.01945	0.0263	0.8983	0.8807	0.8447	0.8508	0.9057	0.9529	0.9527	0.7784
TCGA-CV-7091-01	TCGA-CV-7091-01	0.03116	0.02962	0.02532	0.01494	0.02458	0.02264	0.03264	0.0627	0.03537	0.02039	0.08585	0.04536	0.01857	0.01693	0.01623	0.06996	0.02372	0.03753	0.01708	0.03093	0.04368	0.01911	0.02285	0.01617	0.02668	0.8396	0.7888	0.747	0.8056	0.699	0.9026	0.9355	0.7181
TCGA-CR-7382-01	TCGA-CR-7382-01	0.03115	0.04046	0.03568	0.02816	0.03088	0.04398	0.03068	0.03734	0.0573	0.01846	0.1366	0.04375	0.035	0.0184	0.0275	0.08729	0.03459	0.0605	0.02315	0.08064	0.05808	0.02852	0.0473	0.02429	0.02499	0.8512	0.8028	0.7626	0.8076	0.6702	0.9329	0.9327	0.8309
TCGA-XG-A823-01	TCGA-XG-A823-01	0.03115	0.03783	0.03551	0.02219	0.03753	0.01587	0.03317	0.03808	0.05451	0.01886	0.07006	0.03804	0.03292	0.0169	0.03487	0.06096	0.03752	0.03664	0.02219	0.04581	0.03892	0.02717	0.03349	0.02302	0.0255	0.8515	0.8455	0.8385	0.8593	0.669	0.9208	0.9431	0.8934
TCGA-EJ-7781-11	TCGA-EJ-7781-11	0.03115	0.03221	0.05265	0.0253	0.02326	0.03621	0.03521	0.02884	0.04057	0.02073	0.1607	0.04279	0.02016	0.01587	0.02615	0.09533	0.02894	0.04521	0.0228	0.03448	0.0401	0.03636	0.0605	0.01816	0.02249	0.8498	0.7924	0.7676	0.674	0.7696	0.9118	0.9203	0.6968
TCGA-HD-7229-01	TCGA-HD-7229-01	0.03115	0.03197	0.04256	0.02071	0.02525	0.04945	0.04102	0.02935	0.04331	0.01829	0.1572	0.03577	0.01794	0.01557	0.02802	0.06911	0.02794	0.03234	0.01868	0.04144	0.04065	0.02268	0.03273	0.01693	0.02677	0.8764	0.8439	0.8095	0.8657	0.9264	0.9461	0.9334	0.9227
TCGA-BH-A0AZ-01	TCGA-BH-A0AZ-01	0.03115	0.03145	0.1073	0.01994	0.0191	0.05965	0.01928	0.0487	0.04142	0.04397	0.06933	0.04983	0.02399	0.02421	0.03781	0.08408	0.04635	0.03956	0.04179	0.07507	0.04253	0.03796	0.1031	0.02627	0.05094	0.924	0.856	0.775	0.8465	0.5113	0.9479	0.947	0.7728
TCGA-DW-7836-01	TCGA-DW-7836-01	0.03114	0.02823	0.05609	0.02086	0.03006	0.08203	0.03423	0.03603	0.04467	0.01473	0.1193	0.04933	0.02872	0.01478	0.02666	0.08958	0.02567	0.04155	0.02108	0.04782	0.04743	0.03359	0.0238	0.02322	0.02203	0.859	0.8568	0.8487	0.9373	0.8956	0.9527	0.9383	0.9213
TCGA-NC-A5HJ-01	TCGA-NC-A5HJ-01	0.03114	0.02813	0.02748	0.02884	0.02864	0.03056	0.04796	0.04257	0.05575	0.02769	0.1582	0.04583	0.02426	0.02297	0.02341	0.04363	0.03192	0.03824	0.02173	0.03351	0.02695	0.03014	0.02178	0.02213	0.03008	0.8368	0.8093	0.8354	0.8801	0.8373	0.9253	0.9413	0.9018
TCGA-AO-A126-01	TCGA-AO-A126-01	0.03114	0.02693	0.0271	0.01972	0.02764	0.04154	0.02877	0.1988	0.04583	0.03282	0.08238	0.06713	0.02409	0.02587	0.0444	0.0536	0.0447	0.04422	0.03459	0.03305	0.03322	0.04163	0.01913	0.02313	0.05163	0.9181	0.925	0.8743	0.8931	0.8715	0.9622	0.9585	0.7916
TCGA-X7-A8D8-01	TCGA-X7-A8D8-01	0.03114	0.02436	0.02804	0.02115	0.02136	0.0237	0.0441	0.02692	0.04621	0.02373	0.09919	0.04393	0.02212	0.01753	0.02306	0.05436	0.0296	0.02815	0.02217	0.05619	0.04949	0.03625	0.02563	0.02052	0.03455	0.8396	0.7788	0.8075	0.8979	0.8745	0.9436	0.9376	0.792
TCGA-A5-AB3J-01	TCGA-A5-AB3J-01	0.03113	0.03765	0.02561	0.02626	0.02356	0.03052	0.04065	0.02599	0.04543	0.02127	0.1327	0.04077	0.02341	0.01801	0.024	0.03485	0.02586	0.02877	0.02334	0.03897	0.04421	0.01974	0.03135	0.01912	0.03467	0.8303	0.8041	0.8232	0.7776	0.8184	0.9134	0.9504	0.8376
TCGA-BG-A0YV-01	TCGA-BG-A0YV-01	0.03113	0.03538	0.04134	0.02323	0.0274	0.0405	0.02648	0.03346	0.04183	0.02132	0.1318	0.03657	0.02018	0.01502	0.02447	0.07637	0.03123	0.05997	0.0266	0.09375	0.05127	0.07434	0.07963	0.02238	0.02812	0.8537	0.7615	0.8235	0.8719	0.7703	0.9365	0.9577	0.8093
TCGA-HI-7170-01	TCGA-HI-7170-01	0.03113	0.03497	0.03843	0.02304	0.02405	0.04916	0.03676	0.04492	0.0577	0.01784	0.1068	0.04465	0.03232	0.02279	0.03788	0.06611	0.03525	0.04513	0.021	0.039	0.03825	0.02871	0.06527	0.01785	0.02822	0.8583	0.8015	0.8193	0.7926	0.7669	0.9389	0.9533	0.7869
TCGA-3B-A9HY-01	TCGA-3B-A9HY-01	0.03113	0.03152	0.0342	0.02126	0.03037	0.02196	0.05952	0.03864	0.05076	0.03678	0.1003	0.04428	0.02405	0.02422	0.0274	0.06487	0.03846	0.03521	0.02856	0.02941	0.02721	0.03002	0.02366	0.02674	0.05402	0.8547	0.8599	0.8717	0.8934	0.9146	0.9584	0.9374	0.7943
TCGA-ZF-AA5P-01	TCGA-ZF-AA5P-01	0.03112	0.03617	0.03073	0.02026	0.02834	0.02548	0.05058	0.03692	0.05239	0.01971	0.08779	0.05575	0.01982	0.01737	0.0214	0.06293	0.02566	0.03458	0.0229	0.04397	0.05022	0.02999	0.0473	0.02315	0.02683	0.832	0.8395	0.7589	0.8207	0.8099	0.931	0.9345	0.7657
TCGA-CV-6956-11	TCGA-CV-6956-11	0.03112	0.03502	0.04682	0.02649	0.02299	0.06254	0.03095	0.0364	0.04346	0.01907	0.1344	0.03853	0.01912	0.01789	0.02489	0.07729	0.03219	0.04415	0.02139	0.06405	0.03294	0.02948	0.0466	0.01925	0.03384	0.858	0.8097	0.7795	0.7326	0.5972	0.9304	0.9556	0.5429
TCGA-DJ-A3UM-01	TCGA-DJ-A3UM-01	0.03112	0.03287	0.02395	0.02155	0.02558	0.05645	0.04616	0.03773	0.0498	0.02514	0.1035	0.03895	0.0297	0.02056	0.03268	0.07085	0.0343	0.03164	0.02421	0.02598	0.03371	0.02403	0.02598	0.02558	0.02821	0.911	0.8725	0.836	0.8758	0.9344	0.9548	0.9428	0.6498
TCGA-B0-5107-11	TCGA-B0-5107-11	0.03112	0.0281	0.03757	0.02404	0.02335	0.05612	0.04136	0.04672	0.03967	0.02393	0.1043	0.05323	0.02574	0.01832	0.02572	0.08786	0.02695	0.04497	0.02457	0.0852	0.02672	0.02422	0.03225	0.02086	0.02947	0.8747	0.8517	0.8573	0.877	0.8449	0.9468	0.9575	0.8808
TCGA-5R-AA1C-01	TCGA-5R-AA1C-01	0.03111	0.04214	0.03707	0.01938	0.02884	0.02275	0.0584	0.07007	0.05791	0.02535	0.04282	0.04494	0.03216	0.01996	0.02857	0.1164	0.03422	0.03058	0.02473	0.04032	0.04298	0.03115	0.02604	0.02304	0.03753	0.8464	0.8158	0.8206	0.9192	0.9124	0.9382	0.9433	0.8023
TCGA-L5-A8NQ-01	TCGA-L5-A8NQ-01	0.03111	0.04131	0.02498	0.023	0.02985	0.01597	0.03858	0.06294	0.05326	0.02595	0.065	0.04268	0.02712	0.0223	0.02957	0.03805	0.03296	0.03285	0.02532	0.02866	0.02274	0.03663	0.02385	0.02088	0.03109	0.8726	0.8485	0.8109	0.796	0.8154	0.924	0.9183	0.7093
TCGA-EM-A3AP-01	TCGA-EM-A3AP-01	0.03111	0.03321	0.05352	0.0167	0.02685	0.05412	0.04098	0.03394	0.05551	0.01956	0.1401	0.0582	0.02453	0.01721	0.02644	0.06106	0.02562	0.03426	0.02249	0.06788	0.04324	0.04461	0.04529	0.0208	0.02592	0.8598	0.8586	0.8177	0.8701	0.8747	0.9596	0.9547	0.8843
TCGA-AG-A02N-01	TCGA-AG-A02N-01	0.03111	0.03314	0.04252	0.02256	0.03904	0.03038	0.02844	0.03547	0.05045	0.02657	0.156	0.04144	0.02634	0.01891	0.0255	0.06677	0.03097	0.05479	0.0262	0.06432	0.04443	0.03047	0.04709	0.02921	0.03415	0.7957	0.7304	0.8385	0.8355	0.7062	0.9327	0.9354	0.8894
TCGA-4R-AA8I-01	TCGA-4R-AA8I-01	0.03111	0.03229	0.0284	0.01726	0.03848	0.0194	0.04464	0.04588	0.03653	0.03289	0.09066	0.05374	0.02798	0.02094	0.03221	0.09304	0.03154	0.03001	0.02741	0.07023	0.05314	0.02422	0.0488	0.02279	0.03419	0.9342	0.8693	0.9221	0.9019	0.646	0.9499	0.9528	0.8714
TCGA-DD-AACG-01	TCGA-DD-AACG-01	0.03111	0.03037	0.0276	0.02436	0.02846	0.02077	0.03609	0.1449	0.0554	0.03662	0.05066	0.06272	0.024	0.02773	0.03796	0.07349	0.04301	0.04752	0.02738	0.03439	0.03866	0.03617	0.01732	0.02361	0.07019	0.8781	0.7872	0.7814	0.8503	0.8041	0.9372	0.9215	0.5208
TCGA-5P-A9K0-01	TCGA-5P-A9K0-01	0.0311	0.038	0.02947	0.02081	0.02626	0.02837	0.0492	0.03689	0.03767	0.01956	0.107	0.05312	0.03176	0.01664	0.02208	0.05859	0.02746	0.0301	0.0157	0.03495	0.02396	0.02389	0.02918	0.01662	0.03046	0.8097	0.8416	0.8259	0.9045	0.9279	0.9364	0.9165	0.8843
TCGA-D8-A1J8-01	TCGA-D8-A1J8-01	0.0311	0.03307	0.03323	0.02	0.02324	0.0279	0.04087	0.04535	0.03424	0.02029	0.09955	0.04241	0.02689	0.01701	0.02951	0.06143	0.03705	0.0359	0.0242	0.04529	0.02745	0.027	0.06908	0.02239	0.03223	0.883	0.8409	0.8177	0.8502	0.7508	0.9432	0.9548	0.8694
TCGA-L5-A4OX-01	TCGA-L5-A4OX-01	0.0311	0.03081	0.03237	0.02361	0.02857	0.02465	0.03783	0.0312	0.04546	0.0285	0.1342	0.05275	0.02421	0.02069	0.02536	0.09396	0.02933	0.03308	0.0273	0.02318	0.03179	0.02813	0.02806	0.02419	0.03163	0.8805	0.8574	0.8601	0.9102	0.894	0.9401	0.9368	0.8544
TCGA-HT-7620-01	TCGA-HT-7620-01	0.0311	0.03036	0.02682	0.02261	0.02862	0.03892	0.04564	0.03567	0.05396	0.02797	0.1136	0.06214	0.03462	0.02046	0.0322	0.05583	0.03302	0.04083	0.02616	0.03196	0.02187	0.03336	0.02343	0.02743	0.03983	0.863	0.6906	0.746	0.6207	0.8803	0.9589	0.927	0.8739
TCGA-AA-3495-11	TCGA-AA-3495-11	0.0311	0.02942	0.03196	0.03164	0.02991	0.0384	0.04889	0.03279	0.04784	0.02215	0.1694	0.04174	0.02457	0.01722	0.02485	0.06257	0.02718	0.04624	0.02124	0.04977	0.03291	0.03268	0.04454	0.02848	0.03813	0.8321	0.8193	0.7776	0.7988	0.7811	0.9332	0.9336	0.797
TCGA-33-4586-01	TCGA-33-4586-01	0.0311	0.02901	0.0187	0.01554	0.0211	0.01682	0.02383	0.104	0.03442	0.03082	0.02609	0.03527	0.03364	0.01649	0.02296	0.063	0.02401	0.04348	0.02225	0.02781	0.02699	0.02265	0.03029	0.01892	0.03191	0.8837	0.8771	0.8138	0.8416	0.7862	0.9399	0.9559	0.6103
TCGA-FK-A4UB-01	TCGA-FK-A4UB-01	0.0311	0.02394	0.01946	0.01687	0.02094	0.01896	0.04506	0.06007	0.04992	0.02058	0.04152	0.03614	0.02325	0.01568	0.028	0.05526	0.02418	0.02563	0.02431	0.03519	0.02968	0.02749	0.02442	0.01875	0.03047	0.8579	0.8433	0.8286	0.8768	0.633	0.9363	0.9271	0.8979
TCGA-HM-A3JJ-11	TCGA-HM-A3JJ-11	0.03109	0.0387	0.03876	0.02599	0.02363	0.0638	0.03185	0.0354	0.038	0.02506	0.0895	0.05391	0.019	0.02108	0.03064	0.07308	0.02734	0.04597	0.02768	0.05417	0.09503	0.03153	0.08528	0.02338	0.04052	0.8447	0.7882	0.7861	0.7603	0.7067	0.8957	0.9366	0.7321
TCGA-G4-6311-11	TCGA-G4-6311-11	0.03109	0.03526	0.03572	0.01878	0.02931	0.02335	0.03917	0.03984	0.06626	0.01448	0.08517	0.05601	0.03827	0.01411	0.02503	0.08389	0.02645	0.0475	0.01683	0.03747	0.06113	0.02711	0.02868	0.0204	0.02033	0.8891	0.8633	0.8457	0.857	0.7872	0.9666	0.9474	0.7102
TCGA-EJ-7328-11	TCGA-EJ-7328-11	0.03109	0.02838	0.04466	0.02472	0.0235	0.05128	0.04142	0.0371	0.05506	0.02111	0.1167	0.04559	0.02897	0.01667	0.02891	0.07414	0.02864	0.04723	0.02155	0.04657	0.03977	0.02679	0.04913	0.02037	0.03188	0.8627	0.8259	0.7917	0.7374	0.7528	0.9416	0.9622	0.7509
TCGA-A5-A0GR-01	TCGA-A5-A0GR-01	0.03109	0.02665	0.02402	0.0223	0.02192	0.05329	0.02539	0.05272	0.03333	0.04437	0.07919	0.06933	0.02157	0.0244	0.03822	0.03939	0.04119	0.05185	0.03577	0.04715	0.03887	0.05788	0.01946	0.03306	0.07619	0.8848	0.8497	0.8572	0.8534	0.8	0.8845	0.9316	0.724
TCGA-BR-6707-01	TCGA-BR-6707-01	0.03109	0.0258	0.06999	0.02347	0.03701	0.02412	0.05633	0.03408	0.05148	0.01705	0.1119	0.04313	0.0289	0.01558	0.02944	0.1183	0.02723	0.05733	0.02119	0.1159	0.05575	0.02552	0.06582	0.02181	0.02724	0.8569	0.8249	0.8347	0.8868	0.8845	0.9469	0.9361	0.9162
TCGA-32-5222-01	TCGA-32-5222-01	0.03109	0.02359	0.03115	0.02791	0.01912	0.05028	0.0303	0.05056	0.03828	0.02918	0.1031	0.04539	0.01843	0.01774	0.02867	0.07291	0.05923	0.05198	0.02828	0.03939	0.04311	0.03151	0.02209	0.02255	0.04637	0.861	0.499	0.608	0.5152	0.7389	0.9127	0.944	0.7537
TCGA-CN-5373-01	TCGA-CN-5373-01	0.03108	0.04183	0.04316	0.02211	0.04355	0.04364	0.04456	0.03709	0.05502	0.01561	0.1135	0.04057	0.04119	0.01426	0.02799	0.1044	0.02392	0.06805	0.01822	0.08132	0.07092	0.04318	0.0783	0.02215	0.02673	0.9044	0.8366	0.8179	0.9094	0.8526	0.9534	0.9414	0.7473
TCGA-A4-7585-01	TCGA-A4-7585-01	0.03108	0.04108	0.04302	0.02819	0.02737	0.0631	0.03288	0.03598	0.0482	0.01848	0.107	0.04451	0.02535	0.01574	0.02995	0.06845	0.03802	0.04524	0.02064	0.08206	0.04389	0.03293	0.03976	0.02238	0.02633	0.8691	0.8587	0.8459	0.9074	0.8845	0.961	0.9423	0.9075
TCGA-UY-A8OB-01	TCGA-UY-A8OB-01	0.03108	0.04033	0.02383	0.01369	0.03002	0.01076	0.04837	0.1015	0.05413	0.01926	0.01905	0.04607	0.03217	0.02163	0.03863	0.07666	0.04412	0.04845	0.02058	0.06494	0.03698	0.03388	0.02441	0.02149	0.02987	0.8759	0.8842	0.8094	0.8819	0.9205	0.9614	0.9595	0.6822
TCGA-KL-8342-01	TCGA-KL-8342-01	0.03108	0.02995	0.03789	0.01638	0.02495	0.02136	0.03003	0.04998	0.04549	0.02283	0.0755	0.06589	0.02925	0.0183	0.03133	0.09135	0.03337	0.03764	0.03195	0.05452	0.02856	0.0319	0.02415	0.023	0.03942	0.9107	0.8985	0.3712	0.4038	0.285	0.957	0.9518	0.8543
TCGA-BB-A6UM-01	TCGA-BB-A6UM-01	0.03108	0.029	0.03053	0.02553	0.02554	0.01711	0.04558	0.03425	0.0465	0.02329	0.09029	0.04455	0.03072	0.01674	0.02704	0.07787	0.02442	0.03498	0.02055	0.04083	0.04686	0.02589	0.02587	0.01849	0.02295	0.8673	0.6519	0.7879	0.7353	0.7185	0.9502	0.9383	0.2898
TCGA-QT-A5XN-01	TCGA-QT-A5XN-01	0.03107	0.0371	0.03106	0.0184	0.03219	0.02239	0.1036	0.1201	0.05443	0.03821	0.06788	0.058	0.02562	0.02335	0.04497	0.03796	0.03209	0.02885	0.03678	0.02903	0.02711	0.02686	0.02016	0.02207	0.05405	0.9165	0.8966	0.8951	0.8623	0.1664	0.9476	0.9377	0.7692
TCGA-B0-4713-11	TCGA-B0-4713-11	0.03107	0.02515	0.0342	0.02228	0.02609	0.03729	0.02206	0.02853	0.04174	0.02742	0.1023	0.05457	0.03502	0.01769	0.02579	0.06781	0.03148	0.05103	0.03499	0.1109	0.07363	0.0345	0.06529	0.02757	0.04257	0.8458	0.889	0.8678	0.859	0.8377	0.9539	0.9407	0.8365
TCGA-QT-A5XO-01	TCGA-QT-A5XO-01	0.03106	0.03816	0.02385	0.01938	0.02523	0.0181	0.05	0.04274	0.04639	0.02314	0.06827	0.05313	0.02828	0.01654	0.02593	0.0518	0.02639	0.03355	0.02101	0.03132	0.03803	0.02213	0.03343	0.02613	0.04035	0.8757	0.8511	0.8077	0.5734	0.3162	0.913	0.9372	0.5819
TCGA-FG-A70Z-01	TCGA-FG-A70Z-01	0.03106	0.03665	0.04191	0.04158	0.02851	0.02751	0.03812	0.04724	0.05472	0.0403	0.09703	0.04383	0.02339	0.0276	0.03563	0.08027	0.03143	0.06026	0.03999	0.04	0.04033	0.0307	0.04063	0.02855	0.06464	0.7845	0.59	0.6152	0.4985	0.6113	0.8815	0.8833	0.5576
TCGA-K1-A3PN-01	TCGA-K1-A3PN-01	0.03106	0.03164	0.03244	0.02158	0.03463	0.04004	0.0372	0.04439	0.04403	0.04001	0.1118	0.057	0.02419	0.0345	0.0397	0.05282	0.0454	0.04379	0.04353	0.04761	0.02642	0.05411	0.02843	0.03137	0.04571	0.9217	0.9136	0.8793	0.8775	0.3407	0.9427	0.9247	0.7712
TCGA-K1-A3PN-02	TCGA-K1-A3PN-02	0.03106	0.03117	0.02567	0.02603	0.04149	0.03667	0.044	0.03864	0.03769	0.03955	0.09921	0.05594	0.02931	0.03837	0.04675	0.04692	0.04162	0.05557	0.03918	0.03983	0.02878	0.04348	0.02348	0.03912	0.06793	0.9258	0.9094	0.9212	0.9558	0.8759	0.9417	0.9219	0.7821
TCGA-18-4721-11	TCGA-18-4721-11	0.03106	0.02973	0.03479	0.01711	0.01953	0.02707	0.03143	0.05137	0.04989	0.01608	0.0572	0.03842	0.02597	0.01141	0.02649	0.07393	0.02322	0.04429	0.02026	0.05399	0.03219	0.02048	0.03314	0.01942	0.02182	0.8369	0.8696	0.8559	0.8757	0.8641	0.9588	0.9456	0.8885
TCGA-E8-A2JQ-11	TCGA-E8-A2JQ-11	0.03106	0.02574	0.04198	0.02639	0.02894	0.01723	0.03543	0.052	0.04819	0.02537	0.08974	0.05255	0.02145	0.01938	0.0314	0.0766	0.02985	0.04055	0.02297	0.06212	0.03234	0.02846	0.03854	0.01679	0.0237	0.8941	0.8443	0.846	0.9061	0.8942	0.9258	0.9459	0.8934
