sample	samples	chr17:7590695-7590863:-	chr17:7580643-7580745:-	chr17:7579700-7579940:-	chr17:7579312-7579590:-	chr17:7578371-7578811:-	chr17:7577499-7577608:-	chr17:7577019-7577155:-	chr17:7576853-7576926:-	chr17:7576525-7576657:-	chr17:7573927-7574033:-	chr17:7571720-7573008:-	chr17:7565097-7565332:-
TCGA-E9-A1NG-11	TCGA-E9-A1NG-11	2.905	0	3.143	3.981	2.76	4.009	4.131	4.464	0.4365	4.22	4.143	0
TCGA-B0-4693-01	TCGA-B0-4693-01	2.904	0.4792	2.97	3.898	2.78	4.15	4.488	4.76	0.8909	4.368	4.245	0.096
TCGA-AX-A2HC-11	TCGA-AX-A2HC-11	2.904	0	2.798	3.939	3.106	4.308	4.629	4.936	0.2584	4.633	4.564	0.1026
TCGA-UZ-A9PZ-01	TCGA-UZ-A9PZ-01	2.903	0.741	2.742	3.721	2.583	3.839	4.267	4.55	0.2306	4.231	5.456	0.0688
TCGA-BP-4342-01	TCGA-BP-4342-01	2.903	0.3511	3.125	3.943	2.791	4.248	4.214	4.59	0.3289	4.389	4.031	0.0678
TCGA-A8-A09M-01	TCGA-A8-A09M-01	2.903	0.3222	3.099	3.984	2.93	4.51	4.788	4.851	0	4.457	4.662	0
TCGA-FC-A8O0-01	TCGA-FC-A8O0-01	2.903	0.2283	2.883	3.788	2.95	4.071	4.346	4.69	0.1799	4.526	4.818	0.1041
TCGA-BF-A1PZ-01	TCGA-BF-A1PZ-01	2.903	0.1444	3.286	4.355	3.126	4.201	4.468	4.843	0.5344	4.633	4.747	0
TCGA-CV-7425-01	TCGA-CV-7425-01	2.903	0	2.709	3.899	2.801	3.857	4.091	4.36	0.0687	4.107	4.024	0
TCGA-A7-A5ZX-01	TCGA-A7-A5ZX-01	2.902	0.1077	2.562	3.719	2.861	4.016	4.396	4.738	0.0841	4.515	4.725	0.048
TCGA-3A-A9IB-01	TCGA-3A-A9IB-01	2.902	0.0906	2.448	3.217	2.458	3.741	3.852	4.311	0	4.167	4.116	0
TCGA-CR-7394-01	TCGA-CR-7394-01	2.902	0	2.972	4.071	2.794	4.034	4.172	4.409	0.5291	4.285	3.802	0
TCGA-BQ-7062-01	TCGA-BQ-7062-01	2.901	0.0646	3.008	4.113	3.113	4.143	4.51	4.84	0.1458	4.561	4.799	0.0565
TCGA-IR-A3LC-01	TCGA-IR-A3LC-01	2.901	0	3.246	4.141	2.914	4.388	4.718	5.042	0.5982	4.95	5.712	0
TCGA-55-1596-01	TCGA-55-1596-01	2.901	0	2.964	3.998	2.89	4.279	4.259	4.459	0	4.359	4.088	0
TCGA-98-A53H-01	TCGA-98-A53H-01	2.901	0	2.836	4.009	2.985	4.146	4.221	4.504	0.8824	4.405	4.29	0.0833
TCGA-WZ-A8D5-01	TCGA-WZ-A8D5-01	2.9	0.4417	2.974	3.844	2.909	4.2	4.323	4.657	0.0779	4.43	4.749	0
TCGA-FG-A87Q-01	TCGA-FG-A87Q-01	2.9	0	2.809	3.668	2.605	3.908	4.221	4.497	0.0979	4.192	4.222	0
TCGA-KK-A8I9-01	TCGA-KK-A8I9-01	2.9	0	2.65	3.502	2.543	3.944	4.207	4.533	0.1911	4.409	5.15	0
TCGA-DX-A23V-01	TCGA-DX-A23V-01	2.9	0	2.622	3.745	2.993	4.606	4.564	4.816	0.5251	4.79	5.104	0
TCGA-2G-AALY-01	TCGA-2G-AALY-01	2.899	0.6449	3.267	4.086	3.204	4.66	5.061	5.307	0.2322	5.006	5.698	0
TCGA-BP-4803-01	TCGA-BP-4803-01	2.899	0.4387	3.221	4.075	2.915	4.5	4.428	4.749	0.2979	4.397	4.288	0.0727
TCGA-VS-A958-01	TCGA-VS-A958-01	2.899	0.2653	2.901	3.94	2.912	3.915	4.431	4.637	0	4.386	4.401	0
TCGA-77-7142-11	TCGA-77-7142-11	2.899	0.1131	2.763	3.754	2.743	4.084	4.318	4.608	0.5282	4.299	4.32	0.0992
TCGA-A8-A07P-01	TCGA-A8-A07P-01	2.899	0	3.327	4.205	3.038	4.529	4.547	4.714	0	4.34	4.159	0
TCGA-A2-A25E-01	TCGA-A2-A25E-01	2.899	0	3.206	4.157	3.058	4.496	4.587	4.923	0.2494	4.577	5.161	0
TCGA-4Z-AA7O-01	TCGA-4Z-AA7O-01	2.899	0	3.168	4.311	3.193	4.556	4.583	4.73	0	4.6	5.351	0
TCGA-DE-A2OL-01	TCGA-DE-A2OL-01	2.898	0	3.182	4.043	2.97	4.302	4.55	4.787	0.2258	4.536	4.884	0
TCGA-CR-6491-01	TCGA-CR-6491-01	2.898	0	2.893	3.915	2.852	4.026	4.004	4.384	0.1252	3.988	3.731	0
TCGA-DJ-A2Q7-01	TCGA-DJ-A2Q7-01	2.897	0.2308	3.082	3.941	2.862	4.171	4.311	4.46	0.0477	4.351	4.738	0
TCGA-ZF-A9R3-01	TCGA-ZF-A9R3-01	2.897	0.188	2.954	3.917	3.075	4.117	4.302	4.559	0.5172	4.366	4.452	0
TCGA-EL-A3H1-01	TCGA-EL-A3H1-01	2.897	0	3.089	4.072	2.849	4.16	4.411	4.624	0.1774	4.534	4.544	0
TCGA-3H-AB3L-01	TCGA-3H-AB3L-01	2.897	0	2.909	3.751	2.938	4.223	4.621	4.871	0.2887	4.459	4.903	0
TCGA-DK-A1AG-01	TCGA-DK-A1AG-01	2.896	0.352	2.945	4.032	3.118	4.448	4.737	5.095	1.012	4.835	6.213	0.0429
TCGA-30-1855-01	TCGA-30-1855-01	2.896	0.1533	2.727	3.465	2.444	3.79	3.828	3.865	0.1949	3.733	3.339	0.0689
TCGA-22-5471-11	TCGA-22-5471-11	2.896	0	3.08	4.013	3.088	4.182	4.318	4.676	0.1432	4.469	4.196	0
TCGA-B0-5812-01	TCGA-B0-5812-01	2.896	0	3.033	3.925	2.76	3.982	4.255	4.594	0.1865	4.557	4.789	0.1081
TCGA-DU-7014-01	TCGA-DU-7014-01	2.896	0	2.943	3.698	2.702	4.199	4.31	4.586	0.2036	4.283	4.406	0.1739
TCGA-FE-A232-01	TCGA-FE-A232-01	2.896	0	2.777	3.675	2.627	3.869	3.979	4.188	0	3.939	4.021	0
TCGA-BP-4347-01	TCGA-BP-4347-01	2.895	0.5414	2.806	3.614	2.582	4.157	4.19	4.385	0.4729	4.364	4.193	0.1879
TCGA-B0-5699-01	TCGA-B0-5699-01	2.895	0.1709	3.243	3.987	2.839	4.012	4.194	4.549	0.2567	4.327	4.172	0
TCGA-93-A4JQ-01	TCGA-93-A4JQ-01	2.895	0.1001	2.817	3.812	2.856	4.122	4.307	4.505	0.6889	4.231	4.225	0.1705
TCGA-DD-AADB-01	TCGA-DD-AADB-01	2.895	0	3.103	4.06	2.982	4.085	4.537	4.783	0.2213	4.501	4.571	0
TCGA-HW-7490-01	TCGA-HW-7490-01	2.895	0	2.801	3.962	2.952	4.196	4.428	4.81	0.22	4.492	4.441	0.1281
TCGA-CG-4476-01	TCGA-CG-4476-01	2.894	0.0784	2.905	3.62	2.483	3.908	3.774	4.14	0.7214	4.014	3.178	0.0687
TCGA-CW-5585-01	TCGA-CW-5585-01	2.894	0.0753	3.029	3.757	2.772	3.972	4.331	4.514	0.115	4.357	4.212	0.0659
TCGA-CZ-5453-01	TCGA-CZ-5453-01	2.894	0	2.949	3.868	3.019	4.079	4.22	4.362	0.0572	4.202	4.423	0.0325
TCGA-L4-A4E5-01	TCGA-L4-A4E5-01	2.894	0	2.824	3.685	2.755	4.156	4.282	4.582	0.1649	4.303	4.435	0.0484
TCGA-K4-A5RI-11	TCGA-K4-A5RI-11	2.894	0	2.797	3.741	2.869	4.036	4.248	4.702	0.5597	4.43	4.642	0
TCGA-XE-AANV-01	TCGA-XE-AANV-01	2.893	2.066	3.458	4.199	3.163	4.414	4.503	4.742	0.3716	4.572	4.612	0.047
TCGA-BA-4078-01	TCGA-BA-4078-01	2.893	0.7706	2.807	3.89	2.805	4.298	4.353	4.666	1.847	4.375	4.006	0.1071
TCGA-AF-A56K-01	TCGA-AF-A56K-01	2.893	0.2053	2.6	3.343	2.242	3.24	3.474	3.795	0.7744	3.607	3.522	0.0474
TCGA-JY-A939-01	TCGA-JY-A939-01	2.893	0.2018	2.891	3.616	2.734	4.179	3.996	4.185	1.012	3.778	2.701	0
TCGA-EB-A3XC-01	TCGA-EB-A3XC-01	2.893	0	3.025	4.218	3.149	4.381	4.577	4.768	0.1007	4.53	4.694	0
TCGA-EM-A3AI-01	TCGA-EM-A3AI-01	2.893	0	2.929	3.898	3.044	4.379	4.585	5.07	0.5108	5.007	5.272	0
TCGA-UZ-A9PK-01	TCGA-UZ-A9PK-01	2.893	0	2.685	3.261	2.341	3.734	4.047	4.413	0.0785	4.133	4.439	0.0448
TCGA-B0-5705-01	TCGA-B0-5705-01	2.892	0	3.222	4.123	2.902	4.334	4.531	4.742	0.1628	4.494	4.152	0
TCGA-E2-A1IG-01	TCGA-E2-A1IG-01	2.892	0	3.108	4.227	3.177	4.543	4.612	4.762	0.0785	4.535	4.822	0
TCGA-AG-3742-11	TCGA-AG-3742-11	2.892	0	2.99	3.754	2.52	4.308	4.272	4.435	0.1869	4.057	3.933	0
TCGA-EJ-5526-01	TCGA-EJ-5526-01	2.892	0	2.951	3.838	2.833	4.164	4.334	4.597	0.4138	4.368	4.322	0
TCGA-UY-A9PF-01	TCGA-UY-A9PF-01	2.891	0.1872	2.839	3.68	2.784	4.2	4.482	4.672	0.7169	4.346	4.989	0.3125
TCGA-2Y-A9H8-01	TCGA-2Y-A9H8-01	2.891	0.1005	2.656	3.44	2.432	3.494	3.864	4.238	0.3554	3.956	4.296	0
TCGA-2J-AAB1-01	TCGA-2J-AAB1-01	2.891	0	3.077	4.022	3.019	4.467	4.456	4.651	0.0898	4.411	4.79	0
TCGA-BQ-5877-01	TCGA-BQ-5877-01	2.891	0	3.067	4.3	3.129	4.173	4.315	4.667	0.1165	4.324	4.293	0.0338
TCGA-DS-A0VL-01	TCGA-DS-A0VL-01	2.891	0	2.898	3.885	2.925	4.165	4.484	4.715	0.2589	4.348	5.073	0
TCGA-NC-A5HN-01	TCGA-NC-A5HN-01	2.891	0	2.819	3.766	2.776	4.009	4.21	4.505	1.069	4.248	4.446	0
TCGA-E2-A106-01	TCGA-E2-A106-01	2.89	0.2568	3.053	3.957	2.787	4.28	4.417	4.707	0.0708	4.574	4.544	0
TCGA-QH-A6CX-01	TCGA-QH-A6CX-01	2.89	0.1131	3.001	3.905	2.823	3.941	4.189	4.628	0	4.557	4.714	0.1464
TCGA-A7-A13E-11	TCGA-A7-A13E-11	2.89	0	3.276	4.329	3.049	4.281	4.383	4.806	0.4516	4.357	4.176	0
TCGA-77-7335-11	TCGA-77-7335-11	2.89	0	3.003	3.922	2.762	3.908	3.975	4.232	0	4.04	4.23	0
TCGA-ZX-AA5X-01	TCGA-ZX-AA5X-01	2.89	0	2.865	3.817	2.855	4.204	4.511	4.893	0.1433	4.544	4.588	0
TCGA-RW-A68D-01	TCGA-RW-A68D-01	2.889	0.3496	2.702	3.523	2.409	3.404	3.625	3.844	0.3596	3.726	3.746	0.0564
TCGA-MJ-A68J-01	TCGA-MJ-A68J-01	2.889	0.2894	2.75	3.893	2.937	4.163	4.512	4.753	0.229	4.685	4.641	0.0459
TCGA-BJ-A28R-11	TCGA-BJ-A28R-11	2.889	0.1751	3.006	3.859	2.694	3.849	3.955	4.357	0.5358	4.089	4.168	0
TCGA-EL-A3GU-01	TCGA-EL-A3GU-01	2.889	0.1673	2.964	3.694	2.799	3.884	4.236	4.435	0.1312	4.256	4.459	0
TCGA-HU-A4GP-11	TCGA-HU-A4GP-11	2.889	0.0618	3.289	4.156	2.825	4.09	4.104	4.136	0	3.985	3.115	0
TCGA-HI-7170-01	TCGA-HI-7170-01	2.889	0	3.168	4.267	3.156	4.413	4.439	4.825	0.1546	4.558	5.137	0.0891
TCGA-2L-AAQE-01	TCGA-2L-AAQE-01	2.889	0	2.868	3.506	2.615	3.841	3.937	4.315	0.0897	4.187	4.362	0
TCGA-KK-A5A1-01	TCGA-KK-A5A1-01	2.889	0	2.726	3.737	2.868	4.001	4.605	5.075	0.5457	5.008	5.316	0
TCGA-B5-A3FH-01	TCGA-B5-A3FH-01	2.888	0.1352	2.691	4.036	3.048	4.271	4.569	4.782	0.2965	4.6	5.045	0.0606
TCGA-G9-6332-01	TCGA-G9-6332-01	2.888	0	3.267	4.393	3.375	4.866	5.14	5.353	0.0821	5.224	5.88	0
TCGA-BP-4162-01	TCGA-BP-4162-01	2.887	0.3086	2.775	3.87	2.892	4.197	4.037	4.217	0.6921	4.061	3.97	0.0968
TCGA-DE-A0Y2-01	TCGA-DE-A0Y2-01	2.887	0	3.041	4.231	3.199	4.434	4.455	4.784	0.0655	4.442	4.274	0
TCGA-NK-A7XE-01	TCGA-NK-A7XE-01	2.887	0	2.868	2.628	2.509	4.077	4.379	4.588	0.3926	4.503	5.221	0.0622
TCGA-GL-A9DD-01	TCGA-GL-A9DD-01	2.887	0	2.767	3.606	2.649	3.886	4.252	4.474	0.082	4.325	4.433	0.0921
TCGA-RD-A8N4-01	TCGA-RD-A8N4-01	2.886	0.388	3.162	4.041	2.827	4.11	4.135	4.328	0.1847	3.887	3.063	0.1576
TCGA-KK-A6E6-01	TCGA-KK-A6E6-01	2.886	0.1145	2.858	3.967	2.98	4.421	4.595	4.955	0.4686	4.784	5.267	0
TCGA-EL-A3CX-01	TCGA-EL-A3CX-01	2.886	0.0988	3.1	4.109	3.001	4.4	4.849	5.187	0.0771	5.008	5.239	0
TCGA-EE-A29D-06	TCGA-EE-A29D-06	2.886	0.0638	2.868	3.778	2.641	3.875	4.006	4.2	0.2328	3.974	3.918	0
TCGA-J4-A83N-01	TCGA-J4-A83N-01	2.886	0	3.05	3.98	2.927	4.422	4.497	4.911	0.7224	4.689	5.047	0
TCGA-L5-A4OO-01	TCGA-L5-A4OO-01	2.885	0.4033	2.872	3.794	2.871	4.163	4.185	4.505	0.8067	4.28	4.173	0.0499
TCGA-P3-A6T0-01	TCGA-P3-A6T0-01	2.885	0.0767	2.927	3.695	2.752	3.946	4.212	4.448	0.551	4.205	3.984	0
TCGA-SX-A7SN-01	TCGA-SX-A7SN-01	2.885	0	2.524	2.971	2.302	3.574	3.9	4.189	0	4.088	4.77	0.0652
TCGA-24-1604-01	TCGA-24-1604-01	2.884	0.3552	2.919	3.858	2.807	4.094	3.92	3.133	1.35	4.2	3.579	0.0853
TCGA-EJ-A65E-01	TCGA-EJ-A65E-01	2.884	0.3281	2.641	3.902	2.829	4.096	4.294	4.45	0.2603	4.442	4.698	0.1034
TCGA-BP-5200-01	TCGA-BP-5200-01	2.884	0.0624	3.326	4.235	3.107	4.377	4.511	4.772	0.63	4.496	4.349	0.0276
TCGA-A4-7915-01	TCGA-A4-7915-01	2.884	0	2.831	3.552	2.467	3.916	3.877	4.047	0	3.862	3.949	0
TCGA-3Q-A9WF-01	TCGA-3Q-A9WF-01	2.884	0	2.708	3.723	2.811	4.461	4.902	5.07	0.4007	4.857	6.168	0
TCGA-E2-A1B1-01	TCGA-E2-A1B1-01	2.883	0	3.127	4.028	2.807	4.604	4.689	4.962	0.3329	4.788	4.852	0.0233
TCGA-CN-4740-01	TCGA-CN-4740-01	2.883	0	2.692	3.642	2.65	4.004	4.172	4.379	0.059	4.077	3.572	0
TCGA-55-6987-01	TCGA-55-6987-01	2.882	0.1725	2.944	3.665	2.497	3.74	3.904	4.2	0.373	4.092	4.615	0.0778
TCGA-55-A491-01	TCGA-55-A491-01	2.882	0.1084	2.976	4.076	3.113	4.433	4.538	4.891	0.1646	4.701	5.025	0.1842
TCGA-A7-A0CD-01	TCGA-A7-A0CD-01	2.881	0	3.294	4.239	3.119	4.606	4.596	4.816	0.1173	4.591	4.422	0.0998
TCGA-EY-A210-01	TCGA-EY-A210-01	2.881	0	2.953	3.917	2.996	4.451	4.924	5.306	0.0763	5.149	6.082	0.0435
TCGA-GC-A3YS-01	TCGA-GC-A3YS-01	2.881	0	2.838	3.871	2.974	4.284	4.54	4.831	0.5319	4.684	5.326	0
TCGA-DA-A95V-06	TCGA-DA-A95V-06	2.881	0	2.783	3.636	2.863	4.016	4.085	4.282	0.0783	4.095	4.062	0
TCGA-XJ-A83G-01	TCGA-XJ-A83G-01	2.881	0	2.767	3.453	2.463	3.946	4.174	4.349	0.1203	4.15	4.925	0.069
TCGA-90-7767-11	TCGA-90-7767-11	2.88	0.1879	2.974	3.821	2.713	3.806	4.16	4.415	0.1937	4.04	3.924	0
TCGA-EJ-7797-11	TCGA-EJ-7797-11	2.88	0.1468	2.792	3.901	3.003	4.013	4.328	4.711	0.0586	4.537	4.211	0.0659
TCGA-VM-A8CH-01	TCGA-VM-A8CH-01	2.88	0.1175	3.051	3.658	2.68	3.851	4.039	4.381	0.1781	4.081	3.89	0.152
TCGA-D8-A1XU-01	TCGA-D8-A1XU-01	2.88	0	3.186	4.07	2.973	4.383	4.581	4.927	0.0926	4.8	4.735	0.0267
TCGA-85-A4QR-01	TCGA-85-A4QR-01	2.88	0	2.726	3.888	2.926	4.23	4.389	4.709	0.3985	4.605	4.877	0.0508
TCGA-64-1677-01	TCGA-64-1677-01	2.88	0	2.483	3.392	2.757	3.963	4.499	4.816	0	4.486	5.417	0
TCGA-DJ-A13U-01	TCGA-DJ-A13U-01	2.879	0.0821	3.055	4.049	2.909	4.251	4.239	4.456	0.2406	4.281	4.26	0
TCGA-AJ-A3OJ-01	TCGA-AJ-A3OJ-01	2.879	0	3.221	4.392	3.437	4.828	4.96	5.245	0.1911	5.027	6.148	0
TCGA-FG-5962-01	TCGA-FG-5962-01	2.879	0	2.925	3.865	2.876	4.133	4.378	4.522	0.126	4.31	4.074	0
TCGA-XF-A8HE-01	TCGA-XF-A8HE-01	2.878	0	3.02	3.88	2.728	3.877	4.274	4.512	0.3927	4.166	4.34	0
TCGA-H7-8501-01	TCGA-H7-8501-01	2.878	0	3	4.073	2.946	4.258	4.353	4.6	0.3186	4.153	3.843	0
TCGA-AC-A3W6-01	TCGA-AC-A3W6-01	2.878	0	2.936	4.231	3.18	4.429	4.631	5.006	0.2919	4.682	5.088	0
TCGA-V1-A8MU-01	TCGA-V1-A8MU-01	2.878	0	2.578	3.458	2.424	3.941	4.268	4.528	0.4858	4.368	4.773	0.1046
TCGA-30-1718-01	TCGA-30-1718-01	2.877	0.6922	2.616	3.269	2.095	3.387	3.353	3.392	0.3085	3.178	3.234	0
TCGA-H2-A2K9-11	TCGA-H2-A2K9-11	2.877	0.3822	3.087	3.885	3.005	4.143	4.297	4.64	0.1088	4.425	4.333	0.122
TCGA-XF-AAN3-01	TCGA-XF-AAN3-01	2.877	0.0875	2.967	3.607	2.603	4.054	4.242	4.595	0.4471	4.394	4.469	0.0389
TCGA-IB-7893-01	TCGA-IB-7893-01	2.877	0	3.066	3.242	2.496	3.761	4.091	4.371	0.0619	4.156	3.942	0
TCGA-EB-A3XB-01	TCGA-EB-A3XB-01	2.877	0	3.017	3.887	2.819	4.114	4.394	4.698	0.4762	4.412	4.668	0
TCGA-VS-A94Z-01	TCGA-VS-A94Z-01	2.877	0	3.011	3.913	2.827	4.291	4.413	4.559	0.0819	4.395	4.514	0.0467
TCGA-G5-6572-02	TCGA-G5-6572-02	2.877	0	2.995	3.899	2.895	3.816	4.168	4.516	0.0657	4.454	4.754	0.0739
TCGA-FD-A5BR-01	TCGA-FD-A5BR-01	2.877	0	2.878	3.786	2.852	4.216	4.533	4.644	0.3385	4.473	4.621	0
TCGA-2K-A9WE-01	TCGA-2K-A9WE-01	2.877	0	2.845	3.695	2.753	3.925	3.997	4.358	0.56	4.45	4.633	0
TCGA-TS-A7P6-01	TCGA-TS-A7P6-01	2.877	0	2.811	3.885	2.989	4.283	4.659	5.053	0.261	4.818	5.734	0
TCGA-QH-A65Z-01	TCGA-QH-A65Z-01	2.877	0	2.754	3.971	2.953	4.085	4.348	4.804	0.0888	4.579	4.746	0.193
TCGA-DK-A3IL-01	TCGA-DK-A3IL-01	2.876	0.3826	3.019	3.964	3.02	4.123	4.738	5.199	0.5563	5.003	5.962	0
TCGA-DX-A7EI-01	TCGA-DX-A7EI-01	2.876	0.0898	2.776	3.565	2.506	3.998	4.119	4.545	0.1368	4.325	4.432	0.1892
TCGA-AA-3496-11	TCGA-AA-3496-11	2.876	0	3.22	4.113	2.995	4.364	4.534	4.625	0.1306	4.457	4.223	0
TCGA-ZG-A9L1-01	TCGA-ZG-A9L1-01	2.876	0	3.018	3.72	3.02	4.364	4.601	4.888	0.1352	4.468	4.46	0
TCGA-ET-A25K-01	TCGA-ET-A25K-01	2.876	0	2.892	4.1	3.062	4.333	4.544	4.63	0.1862	4.463	4.612	0
TCGA-BA-6870-01	TCGA-BA-6870-01	2.876	0	2.774	3.835	2.772	4.115	4.348	4.608	0.0905	4.367	4.553	0
TCGA-E9-A2JS-01	TCGA-E9-A2JS-01	2.875	0.3848	3.165	3.858	2.731	4.152	4.317	4.634	0.3065	4.638	4.437	0.075
TCGA-06-0745-01	TCGA-06-0745-01	2.875	0.0967	3.297	3.89	2.915	4.603	4.401	4.876	0.1472	4.683	4.662	0.0848
TCGA-B0-5110-01	TCGA-B0-5110-01	2.875	0	3.142	4.161	2.84	4.738	4.608	4.851	0.5781	4.565	4.391	0.0438
TCGA-CZ-5466-01	TCGA-CZ-5466-01	2.875	0	2.959	3.841	2.728	4.031	4.199	4.631	0.5031	4.393	4.124	0
TCGA-XK-AAJT-01	TCGA-XK-AAJT-01	2.875	0	2.836	3.48	2.532	3.95	3.994	4.205	0.1614	3.919	4.849	0
TCGA-XF-AAME-01	TCGA-XF-AAME-01	2.875	0	2.739	3.545	2.784	4.151	4.438	4.706	0.6034	4.454	4.737	0
TCGA-HT-7676-01	TCGA-HT-7676-01	2.874	0.2773	2.846	3.94	2.819	4.048	4.331	4.609	0.0769	4.429	4.467	0.1276
TCGA-CZ-5463-11	TCGA-CZ-5463-11	2.874	0.1361	2.888	3.782	2.743	4.085	4.19	4.49	0.2984	4.071	4.041	0
TCGA-D8-A1XL-01	TCGA-D8-A1XL-01	2.874	0.0784	3.09	4.211	3.167	4.79	5.045	5.422	0.2823	5.22	5.778	0
TCGA-G9-6364-01	TCGA-G9-6364-01	2.874	0	3.348	4.581	3.433	4.692	4.597	4.877	0.2423	4.754	5.709	0.0487
TCGA-44-2665-11	TCGA-44-2665-11	2.874	0	3.048	3.939	2.917	4.18	4.477	4.807	0.1742	4.631	4.222	0
TCGA-BA-A6DD-01	TCGA-BA-A6DD-01	2.874	0	2.73	3.769	2.859	4.02	4.292	4.748	0.1451	4.497	4.744	0
TCGA-DU-A6S2-01	TCGA-DU-A6S2-01	2.873	0.6031	2.906	3.793	2.791	3.769	4.004	4.291	0	4.174	3.672	0.0905
TCGA-BP-5173-01	TCGA-BP-5173-01	2.873	0.4328	3.174	4.308	3.342	4.544	4.658	4.952	0	4.891	4.606	0
TCGA-XD-AAUH-01	TCGA-XD-AAUH-01	2.873	0	2.947	3.348	2.537	4.111	4.054	4.465	0.367	4.372	4.502	0.0577
TCGA-L5-A4OQ-11	TCGA-L5-A4OQ-11	2.872	0.2517	2.95	3.88	2.94	4.491	4.367	4.442	0.3731	4.103	3.306	0.1153
TCGA-A3-3362-01	TCGA-A3-3362-01	2.872	0.115	2.877	4.014	2.828	4.047	4.197	4.638	0.4703	4.208	4.184	0
TCGA-ET-A3BO-01	TCGA-ET-A3BO-01	2.872	0.0775	2.895	4.06	2.925	4.319	4.383	4.663	0.0604	4.357	4.521	0.0679
TCGA-FS-A1YW-06	TCGA-FS-A1YW-06	2.872	0.0771	3.177	4.102	2.997	4.042	4.235	4.485	0.1731	4.253	3.915	0.0675
TCGA-KK-A6E0-01	TCGA-KK-A6E0-01	2.872	0	2.702	3.874	2.855	4.299	4.418	4.732	0.1656	4.485	4.615	0
TCGA-AB-2999-03	TCGA-AB-2999-03	2.871	0.8529	3.425	4.443	3.323	4.844	4.812	5.155	2.562	5.031	4.742	0.2643
TCGA-E8-A432-01	TCGA-E8-A432-01	2.871	0.0844	2.963	3.979	2.841	4.113	4.233	4.537	0	4.365	4.44	0.1095
TCGA-D8-A1JN-01	TCGA-D8-A1JN-01	2.871	0	2.876	3.609	2.513	4.074	4.182	4.278	0.1025	4.05	4.511	0
TCGA-BP-4999-01	TCGA-BP-4999-01	2.87	0.8117	2.956	3.909	2.741	4.096	4.251	4.473	0.229	4.396	4.061	0.0549
TCGA-VN-A88L-01	TCGA-VN-A88L-01	2.87	0.2227	2.892	3.932	2.759	4.167	4.51	4.731	0.2557	4.499	4.816	0
TCGA-CM-6172-01	TCGA-CM-6172-01	2.869	0.2349	3.005	3.992	2.904	4.05	4.332	4.665	0.1851	4.421	4.163	0
TCGA-44-6777-11	TCGA-44-6777-11	2.869	0	2.987	3.945	2.842	3.963	4.174	4.413	0.2547	4.248	4.229	0.0764
TCGA-DD-AACS-01	TCGA-DD-AACS-01	2.869	0	2.968	3.82	2.993	3.898	4.156	4.458	0	4.144	3.985	0
TCGA-CU-A72E-01	TCGA-CU-A72E-01	2.869	0	2.947	3.73	2.697	4.034	4.314	4.443	0.0664	4.251	4.869	0.0378
TCGA-VP-A87E-01	TCGA-VP-A87E-01	2.869	0	2.843	3.682	2.635	3.869	4.077	4.308	0.5494	4.078	4.274	0.1531
TCGA-ZJ-A8QQ-01	TCGA-ZJ-A8QQ-01	2.869	0	2.772	3.639	2.605	3.777	4.035	4.3	0	4.165	4.233	0
TCGA-P6-A5OF-01	TCGA-P6-A5OF-01	2.869	0	2.77	3.727	2.813	3.97	4.238	4.632	0.3376	4.374	4.512	0.162
TCGA-BP-4768-01	TCGA-BP-4768-01	2.868	0.2854	2.942	3.801	2.852	4.174	4.422	4.664	0.6328	4.318	4.085	0.034
TCGA-A3-3320-01	TCGA-A3-3320-01	2.868	0.0926	2.648	3.766	2.555	3.939	4.013	4.361	0.2694	4.078	3.881	0.0411
TCGA-A1-A0SH-01	TCGA-A1-A0SH-01	2.868	0.0756	3.015	4.174	2.966	4.278	4.335	4.438	0.0589	4.136	4.332	0
TCGA-B5-A5OE-01	TCGA-B5-A5OE-01	2.868	0.0746	2.841	3.758	2.95	4.208	4.821	5.247	0.1139	5.197	5.913	0
TCGA-BC-A10W-01	TCGA-BC-A10W-01	2.868	0	3.131	4.131	2.988	4.591	4.554	4.841	0	4.567	4.415	0
TCGA-BH-A0H7-01	TCGA-BH-A0H7-01	2.868	0	3.103	4.005	2.775	4.351	4.473	4.774	0.0561	4.465	4.218	0
TCGA-BJ-A28V-01	TCGA-BJ-A28V-01	2.868	0	3.012	4.083	3.071	4.266	4.454	4.79	0.3612	4.457	4.592	0.1564
TCGA-KN-8427-11	TCGA-KN-8427-11	2.868	0	3.007	3.936	2.919	3.998	4.22	4.509	0.2133	4.32	4.403	0
TCGA-DX-AB32-01	TCGA-DX-AB32-01	2.868	0	2.763	3.769	2.631	3.873	3.986	4.507	0.3106	4.453	4.861	0.0637
TCGA-DZ-6135-01	TCGA-DZ-6135-01	2.867	0.3326	3.043	4.15	3.077	4.285	4.35	4.54	0.2232	4.246	4.079	0.0534
TCGA-FG-8186-01	TCGA-FG-8186-01	2.867	0.2584	2.982	3.984	3.034	4.005	4.255	4.629	0.7731	4.219	4.23	0.1559
TCGA-BH-A0AW-01	TCGA-BH-A0AW-01	2.867	0.1201	2.801	3.831	2.786	4.369	4.575	4.694	0.0938	4.506	5.16	0
TCGA-FG-A4MT-02	TCGA-FG-A4MT-02	2.867	0.112	2.843	3.75	2.763	4.096	4.169	4.546	0	4.401	4.44	0.0982
